% Model:              model.mph
% Version:            COMSOL 6.4.0.293
% Date:               Mar 27 2026, 14:58
% Dimension:          3
% Nodes:              2281
% Expressions:        6
% Description:        x-coordinate, y-coordinate, z-coordinate, von Mises stress, Displacement magnitude, Equivalent deviatoric strain
% Length unit:        µm
% X                       Y                        Z                        x (µm)                   y (µm)                   z (µm)                   solid.mises (N/m^2)      solid.disp (µm)          solid.edeve (1)
1.3664702122098003        2.994070126330374        0.05000000000000185      1.3664702122098          2.9940701263303735       0.05000000000000183      1488.7337999578463       3.241275396222916E-9     1.1302368113559193E-9
1.3725346577755384        3.06070041508791         0.049999999999999996     1.3725346577755386       3.06070041508791         0.05                     610.9734803547927        3.1546213660662182E-9    4.6384700762409835E-10
1.3803883755158897        3.047242889871106        5.152985330410444E-18    1.3803883755158899       3.0472428898711064       5.152985330410445E-18    1002.3933588051511       3.1743493815780712E-9    7.61010379164087E-10
1.3803883755158897        3.047242889871106        0.09999999999999999      1.3803883755158897       3.047242889871106        0.09999999999999999      1076.3895984568705       3.1766524058033475E-9    8.171878327549513E-10
1.2408318317770661        3.100232312790125        0                        1.2408318317770661       3.100232312790126        0                        457.84436760972187       3.0697131995104447E-9    3.4759240245585103E-10
1.349066664678467         3.1547028115404707       0                        1.3490666646784673       3.1547028115404707       0                        222.402679213859         3.0748047473657937E-9    1.6884663665130934E-10
1.2575044569746983        3.1009035157716798       0.09999999999999999      1.2575044569746985       3.1009035157716798       0.09999999999999999      428.070380041073         3.077140962285818E-9     3.2498818888060707E-10
1.349066664678467         3.1547028115404707       0.09999999999999999      1.349066664678467        3.1547028115404707       0.09999999999999999      275.13896364756846       3.078346787360676E-9     2.0888367346923358E-10
1.3616600564580312        2.9320690521378108       0                        1.3616600564580315       2.932069052137811        0                        2025.2535231144623       3.301813908481442E-9     1.5375590211070803E-9
1.249860009944366         2.99607452836364         0                        1.2498600099443657       2.99607452836364         0                        1376.041349981735        3.1249897673715132E-9    1.0446814519434522E-9
1.3752759114449196        2.921936456862259        0.09999999999999999      1.3752759114449196       2.9219364568622583       0.1                      2027.3602195727403       3.3309058776811124E-9    1.5391584110635434E-9
1.2490384985729068        2.9944823965132517       0.09999999999999999      1.249038498572907        2.9944823965132503       0.10000000000000003      1399.9649584380359       3.128876913866705E-9     1.062844096560335E-9
0.9741766230656344        3.049634608163004        0.04999999999999979      0.9741766230656344       3.049634608163004        0.049999999999999795     922.6509730032667        2.989376937069251E-9     7.004704895873325E-10
0.9177449538410443        3.047242889871107        0.1                      0.9177449538410443       3.047242889871107        0.09999999999999999      1127.9130375535306       2.998929916544726E-9     8.563040854499231E-10
1.0183779450595403        3.0285158162228956       0.09999999999999999      1.0183779450595405       3.0285158162228956       0.09999999999999999      1162.354098822232        2.9776138268170044E-9    8.824515103751508E-10
0.9490666646784671        3.154702811540471        0.09999999999999999      0.9490666646784671       3.154702811540471        0.09999999999999999      258.16935950707483       3.0887850753073E-9       1.9600046273390736E-10
0.9255986715813945        3.06070041508791         0.049999999999999996     0.9255986715813946       3.0607004150879105       0.049999999999999996     687.3510262331057        3.0270406572906985E-9    5.218323330833626E-10
0.9490666646784671        3.154702811540471        0                        0.9490666646784671       3.154702811540471        0                        331.7313862738735        3.0857813126623423E-9    2.5184826478693486E-10
0.9177449538410443        3.047242889871107        5.152985330410409E-18    0.9177449538410443       3.047242889871107        5.152985330410409E-18    980.7413700370222        2.9948464021986737E-9    7.445723331242268E-10
1.018315484303058         3.0278866974321192       0                        1.0183154843030577       3.0278866974321184       0                        1206.8699790021142       2.9737332389629113E-9    9.162476708913116E-10
0.9281457861410798        2.9183045003900596       0                        0.9281457861410799       2.918304500390059        0                        2196.475100467985        2.8444375404621474E-9    1.6675493052188885E-9
0.9305207586602648        2.916118209874821        0.09999999999999999      0.9305207586602648       2.916118209874822        0.10000000000000002      2125.6419335435885       2.849879453859974E-9     1.6137732354304974E-9
0.833590317026607         2.9734412541331414       0.1                      0.8335903170266069       2.973441254133142        0.09999999999999999      3672.271244080168        2.7610796326287138E-9    2.7879639338212513E-9
0.833590317026607         2.9734412541331414       7.070886976453856E-18    0.8335903170266069       2.973441254133142        7.070886976453856E-18    3566.9598501254986       2.7552104379755523E-9    2.7080122231083355E-9
0.7229614262344568        2.956413839265709        0.09999999999999999      0.7229614262344568       2.956413839265709        0.09999999999999999      4643.350342128928        2.3233840086771643E-9    3.525200734237864E-9
0.7076040913705183        2.959047872899294        0.049999999999999996     0.7076040913705183       2.959047872899294        0.049999999999999996     4625.089047425318        2.237947881082808E-9     3.5113368806076028E-9
0.7972643627157886        2.8589889656615237       0.09999999999999999      0.7972643627157884       2.8589889656615237       0.1                      1924.2030818258552       2.6798940402802647E-9    1.4608421973529796E-9
0.7229614262344568        2.956413839265709        5.152985330410417E-18    0.7229614262344568       2.956413839265709        5.1529853304104164E-18   4825.253597168079        2.333617838587035E-9     3.6633004770908372E-9
0.8534469975243967        2.8883265704812384       0.044444444444445806     0.8534469975243967       2.8883265704812393       0.0444444444444458       2134.5412104956213       2.753620952380662E-9     1.6205295073751016E-9
0.798945521071797         2.85683548299413         0                        0.798945521071797        2.856835482994129        0                        1952.7173462957078       2.6860103189147983E-9    1.4824900375198895E-9
0.6205091427411592        3.0014939229166755       0.09999999999999999      0.6205091427411592       3.001493922916676        0.09999999999999999      2616.858264549431        1.7432497968106942E-9    1.9867014108085956E-9
0.6385311182972183        2.8513960971625756       0.09999999999999999      0.6385311182972183       2.851396097162575        0.09999999999999999      2075.294649150134        2.2667564597168553E-9    1.5755499115730709E-9
0.6384062668634738        2.8513830175633084       0                        0.6384062668634736       2.851383017563308        0                        2133.242755025525        2.2663824718305894E-9    1.6195437286077686E-9
0.6205091427411592        3.0014939229166755       0                        0.6205091427411592       3.001493922916676        0                        2277.3522861668525       1.7390641216488259E-9    1.728950727339025E-9
0.3156821886927782        2.791237916685735        0.049541285196515475     0.3156821886927782       2.7912379166857355       0.04954128519651547      2408.6455128290945       1.328144349808627E-9     1.8286276728477244E-9
0.3285575219373078        2.7243075045218843       0                        0.3285575219373078       2.7243075045218847       0                        2053.3551386117365       1.702823793942074E-9     1.5588935809152133E-9
0.3285575219373078        2.7243075045218843       0.09999999999999999      0.3285575219373078       2.7243075045218847       0.09999999999999999      2223.2843455525567       1.7033635897016869E-9    1.687902705994838E-9
